timestamp,model_name,test_name,context_title,context_type,accuracy,seed,text_length
2025-12-16 12:26:55,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1,clean,0.608,28,691
2025-12-16 12:29:27,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_549,clean,0.592,28,640
2025-12-16 12:31:54,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1,meani,0.588,28,691
2025-12-16 12:34:22,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_549,meani,0.579,28,640
2025-12-16 12:36:54,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1,wordd,0.578,28,691
2025-12-16 12:39:22,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_549,wordd,0.577,28,640
2025-12-16 12:42:40,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1,chara,0.542,28,691
2025-12-16 12:44:59,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_549,chara,0.526,28,640
2025-12-16 12:47:19,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_10,clean,0.598,28,357
2025-12-16 12:49:45,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_55,clean,0.613,28,283
2025-12-16 12:51:59,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_10,meani,0.615,28,357
2025-12-16 12:54:24,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_55,meani,0.605,28,283
2025-12-16 12:56:41,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_10,wordd,0.62,28,357
2025-12-16 12:59:05,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_55,wordd,0.584,28,283
2025-12-16 13:01:44,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_10,chara,0.553,28,357
2025-12-16 13:04:02,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_55,chara,0.567,28,283
2025-12-16 13:06:28,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_100,clean,0.619,28,306
2025-12-16 13:08:48,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_550,clean,0.572,28,311
2025-12-16 13:11:11,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_100,meani,0.582,28,306
2025-12-16 13:13:36,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_550,meani,0.561,28,311
2025-12-16 13:15:53,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_100,wordd,0.618,28,306
2025-12-16 13:18:19,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_550,wordd,0.59,28,311
2025-12-16 13:20:52,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_100,chara,0.531,28,306
2025-12-16 13:23:19,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_550,chara,0.546,28,311
2025-12-16 13:25:56,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1000,clean,0.581,28,706
2025-12-16 13:28:14,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_551,clean,0.566,28,718
2025-12-16 13:31:09,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1000,meani,0.599,28,706
2025-12-16 13:33:11,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_551,meani,0.593,28,718
2025-12-16 13:36:13,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1000,wordd,0.584,28,706
2025-12-16 13:38:07,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_551,wordd,0.567,28,718
2025-12-16 13:41:54,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_1000,chara,0.534,28,706
2025-12-16 13:43:51,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_551,chara,0.547,28,718
2025-12-16 13:47:02,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_101,clean,0.595,28,761
2025-12-16 13:49:00,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_552,clean,0.617,28,778
2025-12-16 13:52:10,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_101,meani,0.591,28,761
2025-12-16 13:54:07,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_552,meani,0.609,28,778
2025-12-16 13:57:21,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_101,wordd,0.605,28,761
2025-12-16 13:59:17,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_552,wordd,0.577,28,778
2025-12-16 14:03:18,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_101,chara,0.525,28,761
2025-12-16 14:05:12,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_552,chara,0.516,28,778
2025-12-16 14:08:30,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_102,clean,0.642,28,600
2025-12-16 14:09:50,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_553,clean,0.608,28,222
2025-12-16 14:13:40,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_102,meani,0.627,28,600
2025-12-16 14:14:29,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_553,meani,0.597,28,222
2025-12-16 14:18:50,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_102,wordd,0.629,28,600
2025-12-16 14:19:12,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_553,wordd,0.601,28,222
2025-12-16 14:24:01,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_553,chara,0.55,28,222
2025-12-16 14:24:31,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_102,chara,0.539,28,600
2025-12-16 14:29:13,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_554,clean,0.613,28,752
2025-12-16 14:29:27,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_103,clean,0.63,28,511
2025-12-16 14:34:19,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_554,meani,0.619,28,752
2025-12-16 14:34:21,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_103,meani,0.609,28,511
2025-12-16 14:39:16,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_103,wordd,0.563,28,511
2025-12-16 14:39:26,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_554,wordd,0.578,28,752
2025-12-16 14:44:38,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_103,chara,0.554,28,511
2025-12-16 14:45:13,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_554,chara,0.542,28,752
2025-12-16 14:49:16,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_104,clean,0.589,28,211
2025-12-16 14:49:57,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_555,clean,0.637,28,284
2025-12-16 14:53:54,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_104,meani,0.616,28,211
2025-12-16 14:54:39,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_555,meani,0.598,28,284
2025-12-16 14:58:35,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_104,wordd,0.605,28,211
2025-12-16 14:59:26,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_555,wordd,0.602,28,284
2025-12-16 15:03:30,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_104,chara,0.558,28,211
2025-12-16 15:04:25,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_555,chara,0.553,28,284
2025-12-16 15:08:29,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_105,clean,0.604,28,709
2025-12-16 15:09:35,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_556,clean,0.622,28,752
2025-12-16 15:13:24,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_105,meani,0.616,28,709
2025-12-16 15:14:34,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_556,meani,0.607,28,752
2025-12-16 15:18:21,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_105,wordd,0.596,28,709
2025-12-16 15:19:37,Qwen/Qwen3-8B,MMLU_selected_subjects,isot_fake_556,wordd,0.616,28,752
